"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-22.9685407017265,12.8230966379765,-1.7911851832812,0.0757929458530683
"age",0.0614656538944001,0.109452051564718,0.561576078435185,0.575455766155913
"sexfemale",-2.71022625879159,2.98016938274269,-0.909420207618311,0.364957527219784
"mspss_6mo_total",0.166913974083663,0.110558856960046,1.50972955648395,0.133750042815943
"n_ind",5.5932671044282,0.755273505245362,7.40561805171644,2.01139480852771e-11
"cd_score",0.438897924219698,0.2297472122803,1.9103514678743,0.0584824386270816
"(Intercept)",2.0944991239689,11.4780418103046,0.182478785021373,0.855517288368813
"age",0.143823559932479,0.098034136292014,1.4670763202735,0.144991325481525
"sexfemale",-4.9604389376324,2.66599107075958,-1.86063599088466,0.0652622970127998
"mspss_6mo_total",0.342674700764962,0.0989534097485635,3.46299032681829,0.000742920286877789
"n_ind",1.58255656563225,0.676314302763214,2.33997205022341,0.0209496843356143
"cd_score",0.75076858092872,0.205815612453479,3.64777274172249,0.000393760756402489
"(Intercept)",-9.27966630254842,12.2312544507137,-0.758684756329878,0.449492525367529
"heg",0.161549193189219,0.0645182856257021,2.50392879510833,0.0135918746671609
"age",0.146961449624041,0.103102687271841,1.42538912915588,0.156577487407728
"sexfemale",2.6515299226039,2.82580268111041,0.938328051115716,0.349914749949575
"mspss_6mo_total",0.663001421755545,0.105423795454082,6.28891626316302,5.08392097456448e-09
"n_ind",1.57033088917478,0.736587200261047,2.13190086471534,0.0350037557918642
"cd_score",0.477722139704153,0.213921388810202,2.2331667831869,0.0273461844640712
"(Intercept)",6.73022342040331,10.9912887422239,0.612323411589457,0.541509510073415
"age",0.00282305852674056,0.0941776682668222,0.0299758804682054,0.976137254153772
"sexfemale",1.00915614637078,2.55274823992225,0.395321454183637,0.693323992515959
"mspss_6mo_total",0.409439719502349,0.0950943755030072,4.30561447337547,3.47484389288161e-05
"n_ind",1.97959012054121,0.651522414571839,3.03840677813385,0.0029326458290556
"cd_score",0.556597217249457,0.197745285191758,2.81471801823093,0.00572781848405576
